id,rgb_gt,ir_gt,class_id,iou,center_shift_norm,center_shift_over_rgb_sqrt_area,dx_norm,dy_norm,rgb_hit,ir_hit,rgb_pred_iou,ir_pred_iou,rgb_wrong_class_overlap,ir_wrong_class_overlap,ir_minus_rgb_loc_iou,rgb_luminance
070447,2,2,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.09748566365293165,False,False,0.09748566365293165,64.98526000976562
070447,3,3,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.8607704517610263,False,False,0.8607704517610263,64.98526000976562
070447,4,4,0,1.0,0.0,0.0,0.0,0.0,False,True,0.147608506515357,0.8494745791489177,False,False,0.7018660726335606,64.98526000976562
070447,5,5,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8242626722898025,0.974857977525928,False,False,0.1505953052361254,64.98526000976562
070447,6,6,0,1.0,0.0,0.0,0.0,0.0,False,False,0.023004306574897902,0.04698078425927232,False,False,0.023976477684374414,64.98526000976562
070447,7,7,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,64.98526000976562
070447,8,8,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,64.98526000976562
070451,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.512811825923649,0.8028286838782159,False,False,0.2900168579545669,66.84526062011719
070451,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6186328257097272,0.7694474275227063,False,False,0.15081460181297912,66.84526062011719
070452,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5225983937981299,0.9196968137629208,False,False,0.3970984199647909,58.6088752746582
120003,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.4091109575525776,0.666240381926788,False,False,0.25712942437421044,20.325305938720703
120003,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8297107074493532,0.7911879398421916,False,False,-0.03852276760716156,20.325305938720703
120020,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7993592170675013,0.8915490727798415,False,False,0.09218985571234017,20.638002395629883
120020,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7040504087887962,0.8456407465971915,False,False,0.14159033780839525,20.638002395629883
120020,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8701553499359498,0.7267313793059686,False,False,-0.14342397062998113,20.638002395629883
120020,3,3,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7860835856920619,0.7100072376937727,False,False,-0.07607634799828922,20.638002395629883
120024,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6238490129517706,0.7620311739672494,False,False,0.13818216101547875,20.291643142700195
120024,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.5263099348955197,0.7847384547850772,False,False,0.2584285198895575,20.291643142700195
120024,2,2,0,1.0,0.0,0.0,0.0,0.0,True,False,0.6293745400161519,0.3526791201364049,False,False,-0.276695419879747,20.291643142700195
120030,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6758410999495498,0.8653858039733281,False,False,0.18954470402377832,20.643369674682617
120030,1,1,0,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.48891253278629854,False,False,0.48891253278629854,20.643369674682617
120035,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6173698894521812,0.9415818562674505,False,False,0.3242119668152693,20.713403701782227
120035,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5531741141212915,0.9356552009526128,False,False,0.3824810868313213,20.713403701782227
120051,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.7849644461480534,False,False,0.7849644461480534,20.538414001464844
120051,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.05771428861319361,0.681296550495896,False,False,0.6235822618827024,20.538414001464844
120051,2,2,0,1.0,0.0,0.0,0.0,0.0,False,False,0.30908283002833564,0.0,False,False,-0.30908283002833564,20.538414001464844
120081,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6654363883844169,0.8087051793163128,False,False,0.14326879093189593,21.486156463623047
120083,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.8674672876504671,False,False,0.8674672876504671,23.000295639038086
120083,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5991362179690238,0.6140138778557984,False,False,0.014877659886774586,23.000295639038086
120087,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.7657934396361865,False,False,0.7657934396361865,21.317630767822266
120088,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8817309198695273,0.8661002679928046,False,False,-0.015630651876722745,20.641071319580078
120088,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7616161868047827,0.7697679335921197,False,False,0.008151746787336989,20.641071319580078
120088,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7052103477629448,0.8521612346802175,False,False,0.14695088691727276,20.641071319580078
120088,3,3,0,1.0,0.0,0.0,0.0,0.0,False,True,0.46059101590947626,0.9334082071760935,False,False,0.47281719126661725,20.641071319580078
120088,4,4,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5796766983424259,0.773646821293366,False,False,0.19397012295094018,20.641071319580078
120089,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6258592961048899,0.7929674528274995,False,False,0.1671081567226096,20.54583740234375
120089,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.3864886720819442,0.7379159664289419,False,False,0.35142729434699765,20.54583740234375
