read_at,run,epoch_entered,completed_epochs,seconds,batches,updates,recent_epoch_seconds,remaining_training_hours,source
2026-09-07T23:09:33.439977+08:00,C1_s0,25,24,27544.29776954651,13595,7212,1286.8999999999978,62.915111111111,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_230933.json
2026-09-07T23:09:33.439977+08:00,C1_s123,25,24,27489.445286035538,13935,7383,1189.199999999997,58.13866666666652,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_230933.json
2026-09-07T23:09:33.439977+08:00,c_shuffled,70,69,71283.75083994865,39135,19978,574.5,20.905416666666667,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_230933.json
2026-09-07T23:09:33.439977+08:00,c_same_modal,63,62,53084.86653757095,35435,18130,1029.7999999999956,39.4756666666665,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_230933.json
2026-09-07T23:21:24.248126+08:00,C1_s42,26,25,28261.80704474449,14375,7603,1176.800000000003,57.2055555555557,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_232124.json
2026-09-07T23:21:24.248126+08:00,C1_s0,25,24,28224.899219751358,13895,7362,1286.8999999999978,62.915111111111,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_232124.json
2026-09-07T23:21:24.248126+08:00,C1_s123,26,25,28194.34853363037,14275,7553,1189.199999999997,57.80833333333319,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_232124.json
2026-09-07T23:21:24.248126+08:00,c_shuffled,70,69,72135.74811053276,39215,20018,574.5,20.905416666666667,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_232124.json
2026-09-07T23:21:24.248126+08:00,c_same_modal,64,63,53807.4603536129,35835,18330,1029.7999999999956,39.18961111111094,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260907_232124.json
2026-09-08T00:12:27.880207+08:00,C1_s42,29,28,31334.66385602951,15915,8373,1173.0999999999985,56.04811111111104,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_001227.json
2026-09-08T00:12:27.880207+08:00,C1_s0,28,27,31298.01406311989,15375,8102,1241.9000000000015,59.68019444444451,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_001227.json
2026-09-08T00:12:27.880207+08:00,C1_s123,29,28,31295.10841345787,15815,8323,1141.699999999997,54.54788888888875,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_001227.json
2026-09-08T00:12:27.880207+08:00,c_shuffled,72,71,75166.75243401527,40335,20577,1087.300000000003,38.96158333333344,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_001227.json
2026-09-08T00:12:27.880207+08:00,c_same_modal,67,66,56869.231311798096,37555,19190,1001.4000000000015,37.274333333333395,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_001227.json
2026-09-08T01:12:33.019650+08:00,C1_s42,32,31,34967.5201818943,17755,9293,1112.3999999999978,52.2209999999999,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_011232.json
2026-09-08T01:12:33.019650+08:00,C1_s0,31,30,34919.20570755005,17135,8982,1160.0,54.77777777777778,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_011232.json
2026-09-08T01:12:33.019650+08:00,C1_s123,32,31,34888.006227493286,17615,9223,1126.7000000000007,52.892305555555595,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_011232.json
2026-09-08T01:12:33.019650+08:00,c_shuffled,76,75,78777.22167682648,42435,21627,1084.0,37.638888888888886,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_011232.json
2026-09-08T01:12:33.019650+08:00,c_same_modal,71,70,60477.31200051308,39595,20209,998.9000000000015,36.07138888888894,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_011232.json
2026-09-08T01:55:15.586477+08:00,C1_s42,34,33,37512.354071855545,19055,9943,1110.0,51.49166666666667,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_015515.json
2026-09-08T01:55:15.586477+08:00,C1_s0,33,32,37468.19982767105,18375,9602,1156.5999999999985,53.9746666666666,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_015515.json
2026-09-08T01:55:15.586477+08:00,C1_s123,34,33,37460.62671709061,18915,9873,1119.9000000000015,51.950916666666735,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_015515.json
2026-09-08T01:55:15.586477+08:00,c_shuffled,79,78,81363.98260521889,44215,22517,821.9000000000087,27.853277777778075,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_015515.json
2026-09-08T01:55:15.586477+08:00,c_same_modal,73,72,63017.73427581787,41035,20929,995.0999999999985,35.38133333333328,E:\SHARE\光sar\08_实验日志\2026-09-07_train_IndependentKD实施\running_state_20260908_015515.json
