row,object_id,split,class,source_group,support,paired,reference_candidate,native_gt_ce,teacher_gt_ce,native_minus_teacher_gt_ce,kl_T2,gradient_cosine
65,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020095.jpg::gt:1,train,0,02,True,True,True,0.5376626694569356,0.492172406823779,0.045490262633156614,0.14768670770667022,0.5183819749545703
70,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020104.jpg::gt:0,train,0,02,True,True,True,0.49828800894984665,0.5177281740398831,-0.019440165090036474,0.06967280448137378,-0.04501123947483207
71,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020104.jpg::gt:1,train,0,02,True,True,True,0.7140376850321466,0.6648330791244041,0.049204605907742505,0.19998244595075523,0.6726666873657047
76,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020113.jpg::gt:0,train,0,02,True,True,True,0.6328015451603948,0.6212609652621025,0.011540579898292283,0.0802510731660165,0.7440179523201742
77,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020113.jpg::gt:1,train,0,02,True,True,True,0.9225408947986695,0.6650686858946632,0.25747220890400646,0.3444659635348232,0.8521240238967257
78,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020113.jpg::gt:2,train,0,02,True,True,True,0.7464190105279318,0.7103285387999343,0.03609047172799748,0.15951676829201797,0.44071749967560303
83,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020123.jpg::gt:0,train,0,02,True,True,True,0.550843842714325,0.5167887189048548,0.03405512380947022,0.17900464771628938,0.5354434535917986
88,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020132.jpg::gt:0,train,0,02,True,True,True,0.5683728732381645,0.4991219904110503,0.06925088282711424,0.16996815936450563,0.8954736873648538
89,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020132.jpg::gt:1,train,0,02,True,True,True,0.6607957818636836,0.9084837545892583,-0.24768797272557483,0.19403892792403452,-0.8281948934144528
90,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020132.jpg::gt:2,train,0,02,True,True,True,0.5848101343331544,0.6110231334083764,-0.026212999075222065,0.05550778952117933,-0.046422643553839904
95,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020142.jpg::gt:0,train,0,02,True,True,True,0.4941841309653062,0.5255668476562216,-0.03138271669091537,0.027300716738482028,-0.46412500386657674
96,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020142.jpg::gt:1,train,0,02,True,True,True,0.7254816000863391,0.6602662626710305,0.06521533741530844,0.36617726847256066,0.8539414841799496
101,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020151.jpg::gt:0,train,0,02,True,True,True,0.5669777761449467,0.5616808135159264,0.005296962629020303,0.13352907609725284,0.3629951022767736
106,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020161.jpg::gt:0,train,0,02,True,True,True,0.5544790829208919,0.5970230400771673,-0.042543957156275486,0.10927713019688312,-0.05105777462368123
107,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020161.jpg::gt:1,train,0,02,True,True,True,0.7796716362255947,0.8991940182591242,-0.1195223820335295,0.5022110445855417,0.3104046202598354
108,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020161.jpg::gt:2,train,0,02,True,True,True,0.8937581010720402,0.7917084694083388,0.10204963166370148,0.44828638701917956,0.6825034757676803
113,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020170.jpg::gt:0,train,0,02,True,True,True,0.5483505647942422,0.6096942645640729,-0.06134369976983077,0.08917535871016967,-0.4640437629650792
114,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020170.jpg::gt:1,train,0,02,True,True,True,0.8325996675626464,0.6725038167125019,0.16009585085014452,0.49196991985627714,0.7448992060073442
115,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020170.jpg::gt:2,train,0,02,True,True,True,0.5578117152463178,0.6764764615776553,-0.11866474633133753,0.1763776995204453,-0.5822592478926489
116,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020170.jpg::gt:3,train,0,02,True,True,True,0.753360506142313,0.844521159005473,-0.09116065286316,0.06162268144675392,-0.2238440991229314
