id,level,region,tokens,cka_paired,cka_donor_mean,delta_cka,energy_corr_paired,energy_corr_donor_mean,delta_energy_corr
00000473,P4,all,1600,0.6280592083930969,0.23182669878005982,0.39623250961303713,0.6492580916790859,0.25710950997621873,0.39214858170286715
00000473,P4,fg,3,,,,,,
00000473,P4,bg,1597,0.6188287734985352,0.23890919983386993,0.3799195736646652,0.6103978228191098,0.2832579729697718,0.327139849849338
00000473,P5,all,400,0.6901800036430359,0.5900758624076843,0.1001041412353516,0.6845003203984082,0.6774010779348603,0.007099242463547983
00000473,P5,fg,0,,,,,,
00000473,P5,bg,400,0.6901800036430359,0.5900758624076843,0.1001041412353516,0.6845003203984082,0.6774010779348603,0.007099242463547983
00000475,P3,all,6400,0.2644210159778595,0.03571926690638065,0.22870174907147883,0.616154078408108,0.1027989880902361,0.5133550903178719
00000475,P3,fg,23,0.9052613377571106,0.4705041110515594,0.43475722670555117,0.9013178555108426,0.2989047030345609,0.6024131524762817
00000475,P3,bg,6377,0.2490844577550888,0.036615089327096936,0.21246936842799186,0.5233810791594039,0.11873832154572572,0.4046427576136782
00000475,P4,all,1600,0.5404642224311829,0.18871043622493744,0.3517537862062454,0.7866118774149803,0.2259519615941526,0.5606599158208276
00000475,P4,fg,7,,,,,,
00000475,P4,bg,1593,0.49414876103401184,0.20870708227157592,0.2854416787624359,0.7305886994701065,0.2607785675982819,0.46981013187182463
00000475,P5,all,400,0.568061351776123,0.5145256042480468,0.053535747528076216,0.6707377562095987,0.598866466369085,0.07187128984051372
00000475,P5,fg,2,,,,,,
00000475,P5,bg,398,0.561379075050354,0.5081265568733215,0.05325251817703247,0.6693007096869935,0.5952989968556854,0.07400171283130808
00000493,P3,all,6400,0.2763061821460724,0.08529679477214813,0.19100938737392426,0.4964943575637595,0.1654852346145673,0.33100912294919216
00000493,P3,fg,6,,,,,,
00000493,P3,bg,6394,0.27453872561454773,0.08571992293000222,0.1888188026845455,0.46715056941333183,0.17235297836865598,0.29479759104467584
00000493,P4,all,1600,0.5616417527198792,0.32218768894672395,0.2394540637731552,0.7217220587761617,0.35159723807382154,0.37012482070234015
00000493,P4,fg,2,,,,,,
00000493,P4,bg,1598,0.5540845394134521,0.3281519293785095,0.22593261003494264,0.6994575818807609,0.3636953914965421,0.3357621903842188
00000493,P5,all,400,0.7172889113426208,0.6355032444000244,0.08178566694259648,0.6589385745294055,0.6435534769197169,0.015385097609688647
00000493,P5,fg,0,,,,,,
00000493,P5,bg,400,0.7172889113426208,0.6355032444000244,0.08178566694259648,0.6589385745294055,0.6435534769197169,0.015385097609688647
00000515,P3,all,6400,0.3279353082180023,0.053608864545822144,0.2743264436721802,0.5228287451587253,0.11365340387327212,0.40917534128545324
00000515,P3,fg,24,0.8391819596290588,0.33818517327308656,0.5009967863559723,0.7288676267855155,-0.0555607577231136,0.7844283845086292
00000515,P3,bg,6376,0.3249951899051666,0.054463136941194534,0.2705320529639721,0.4937116977432205,0.12239518878723746,0.371316508955983
00000515,P4,all,1600,0.491225004196167,0.2251764118671417,0.2660485923290253,0.5487411968476514,0.24421870675757568,0.30452249009007576
00000515,P4,fg,5,,,,,,
00000515,P4,bg,1595,0.4802628755569458,0.2377464860677719,0.2425163894891739,0.49395572687018846,0.2692469756433013,0.22470875122688716
00000515,P5,all,400,0.6192271709442139,0.5478651285171509,0.07136204242706301,0.7244416529050622,0.6708713587192996,0.053570294185762646
00000515,P5,fg,2,,,,,,
00000515,P5,bg,398,0.6206334829330444,0.5478305578231811,0.0728029251098633,0.7244818333015631,0.6702391498118417,0.05424268348972139
00000521,P3,all,6400,0.3975468873977661,0.04671376645565033,0.3508331209421158,0.5203036594544075,0.1436369699469051,0.3766666895075024
00000521,P3,fg,23,0.8471576571464539,0.52912677526474,0.3180308818817139,0.804140073205769,0.3270827693304238,0.4770573038753452
00000521,P3,bg,6377,0.39673128724098206,0.04722198322415352,0.34950930401682856,0.4817327664214841,0.14934561208774888,0.3323871543337352
00000521,P4,all,1600,0.6324262022972107,0.2262631446123123,0.40616305768489835,0.6555655165700474,0.2455548455919069,0.4100106709781405
00000521,P4,fg,5,,,,,,
00000521,P4,bg,1595,0.6278536319732666,0.23366869390010833,0.39418493807315824,0.5835777087574217,0.2798632858770321,0.3037144228803896
00000521,P5,all,400,0.6315484046936035,0.6296443343162537,0.0019040703773498535,0.6999548008961545,0.6640763514574834,0.03587844943867102
00000521,P5,fg,3,,,,,,
00000521,P5,bg,397,0.6376516819000244,0.6321146726608277,0.005537009239196755,0.7075403136538108,0.6642345065459357,0.043305807107875016
00000534,P3,all,6400,0.29869866371154785,0.0545529693365097,0.24414569437503814,0.5330623785624398,0.16264648434227927,0.3704158942201605
00000534,P3,fg,20,0.8477252125740051,0.4672511577606201,0.38047405481338503,0.79462651654601,0.002547379658582248,0.7920791368874278
00000534,P3,bg,6380,0.29569917917251587,0.055680558830499646,0.2400186203420162,0.4726139509637883,0.16734242867322596,0.3052715222905623
00000534,P4,all,1600,0.536153256893158,0.24263808727264405,0.29351516962051394,0.6390097185801477,0.3632263316143922,0.27578338696575544
00000534,P4,fg,4,,,,,,
00000534,P4,bg,1596,0.5373740792274475,0.2439350426197052,0.2934390366077423,0.6274766211513353,0.36625629262454973,0.26122032852678556
00000534,P5,all,400,0.7768409848213196,0.6571006774902344,0.1197403073310852,0.7393934785463909,0.7339513527331699,0.00544212581322101
00000534,P5,fg,2,,,,,,
00000534,P5,bg,398,0.7779573202133179,0.6594166278839111,0.11854069232940678,0.7440170758174821,0.7357150272429773,0.008302048574504783
00000539,P3,all,6400,0.3598833382129669,0.07764222547411918,0.2822411127388477,0.5633663456997803,0.14723524001969762,0.41613110568008266
00000539,P3,fg,6,,,,,,
00000539,P3,bg,6394,0.3565804958343506,0.07812836840748787,0.2784521274268627,0.5317037638839542,0.1509416374792675,0.38076212640468676
00000539,P4,all,1600,0.668181836605072,0.2981634378433228,0.37001839876174925,0.7817866412757525,0.3122237901577804,0.4695628511179721
00000539,P4,fg,2,,,,,,
00000539,P4,bg,1598,0.6606171727180481,0.30719358921051027,0.35342358350753783,0.7545948085569049,0.3325301349984965,0.4220646735584084
00000539,P5,all,400,0.7106395363807678,0.5751496315002441,0.1354899048805237,0.7432073172948052,0.6416264295560445,0.10158088773876062
00000539,P5,fg,0,,,,,,
00000539,P5,bg,400,0.7106395363807678,0.5751496315002441,0.1354899048805237,0.7432073172948052,0.6416264295560445,0.10158088773876062
00000542,P3,all,6400,0.33425578474998474,0.06510520651936531,0.26915057823061944,0.5326882870104742,0.15069996239525266,0.3819883246152216
00000542,P3,fg,24,0.851837694644928,0.3943850576877594,0.4574526369571686,0.7439749880947957,0.1692913182044758,0.5746836698903199
00000542,P3,bg,6376,0.33188605308532715,0.06644251495599747,0.2654435381293297,0.4736022438252427,0.15549264319586076,0.31810960062938193
00000542,P4,all,1600,0.537478506565094,0.2984570533037186,0.23902145326137542,0.7110573479743508,0.32165609666884876,0.38940125130550207
00000542,P4,fg,3,,,,,,
00000542,P4,bg,1597,0.5230005979537964,0.30778038799762725,0.21522020995616914,0.6536764965670301,0.34884755820685925,0.30482893836017083
00000542,P5,all,400,0.6556544899940491,0.6113769173622131,0.04427757263183596,0.6649379559146115,0.6888709328738982,-0.023932976959286756
00000542,P5,fg,2,,,,,,
00000542,P5,bg,398,0.6625893712043762,0.6133268713951111,0.049262499809265115,0.6753043282251079,0.6896858522295477,-0.014381524004439816
00000556,P3,all,6400,0.3213960528373718,0.053380899131298065,0.26801515370607376,0.6057158889798864,0.12502812300711225,0.48068776597277413
00000556,P3,fg,29,0.9160587191581726,0.35351642370224,0.5625422954559326,0.9087947926924277,0.000658146785899516,0.9081366459065282
00000556,P3,bg,6371,0.3150993287563324,0.0547302357852459,0.2603690929710865,0.5155031129081491,0.1442743235123603,0.3712287893957888
00000556,P4,all,1600,0.5790826082229614,0.23424233198165895,0.3448402762413025,0.7296726848217372,0.25213336313891366,0.47753932168282354
00000556,P4,fg,6,,,,,,
00000556,P4,bg,1594,0.558659553527832,0.24736177325248718,0.3112977802753448,0.6365016595972454,0.31734689447612296,0.3191547651211224
00000556,P5,all,400,0.7176960110664368,0.6389283299446106,0.0787676811218262,0.741229483902873,0.6993382722120343,0.04189121169083876
00000556,P5,fg,3,,,,,,
00000556,P5,bg,397,0.7183427810668945,0.639731514453888,0.07861126661300655,0.7419452000696175,0.7012878095501319,0.04065739051948558
00000558,P3,all,6400,0.32721537351608276,0.06242178231477737,0.2647935912013054,0.5895899142207609,0.15395655496601307,0.43563335925474783
00000558,P3,fg,39,0.8571727871894836,0.37223445773124697,0.48493832945823667,0.8238825418891289,0.014212965729196314,0.8096695761599326
