epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_lld,train/kd_ccl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_lld,val/kd_ccl,lr/pg0,lr/pg1,lr/pg2
135,35993.4,1.00463,0.50954,1.03061,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
136,36273.8,1.00207,0.50908,1.0294,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.0033175,0.0033175,0.0033175
137,36549.2,1.00322,0.5085,1.02981,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
138,36825.7,0.99989,0.50725,1.02801,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.0032185,0.0032185,0.0032185
139,37102,0.99824,0.50398,1.02639,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
140,37368.9,0.99475,0.50286,1.02421,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.0031195,0.0031195,0.0031195
141,37638.6,0.9953,0.50294,1.02617,2e-05,0.69076,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
142,37907.1,0.99496,0.50185,1.02638,2e-05,0.69112,0,0,0,0,0,0,0,0,0,0.0030205,0.0030205,0.0030205
143,38182.6,0.99096,0.49951,1.02607,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
144,38460.1,0.99171,0.49863,1.0264,2e-05,0.69047,0,0,0,0,0,0,0,0,0,0.0029215,0.0029215,0.0029215
145,38745.5,0.98981,0.49965,1.02276,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
146,39028.1,0.99077,0.49798,1.02175,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.0028225,0.0028225,0.0028225
147,39311.1,0.99004,0.49782,1.02355,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
148,39604.5,0.98513,0.49471,1.02102,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0027235,0.0027235,0.0027235
149,39889.9,0.98592,0.49414,1.02055,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
150,40191.3,0.98434,0.49331,1.02047,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.0026245,0.0026245,0.0026245
151,40471,0.98521,0.49229,1.02098,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
152,40754.1,0.98211,0.49098,1.01937,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0025255,0.0025255,0.0025255
153,41040.6,0.98159,0.49035,1.01997,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
154,41335.8,0.97965,0.48821,1.01913,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.0024265,0.0024265,0.0024265
155,41631.1,0.97839,0.48735,1.01738,2e-05,0.69112,0,0,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
156,41915.8,0.97808,0.48714,1.01784,2e-05,0.69036,0,0,0,0,0,0,0,0,0,0.0023275,0.0023275,0.0023275
157,42201.7,0.97591,0.48536,1.01824,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
158,42493.5,0.97526,0.48524,1.01561,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.0022285,0.0022285,0.0022285
159,42784.7,0.97213,0.48217,1.01823,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
160,43069.9,0.97063,0.48108,1.01372,2e-05,0.69047,0,0,0,0,0,0,0,0,0,0.0021295,0.0021295,0.0021295
161,43332.8,0.96762,0.47975,1.01294,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
162,43579.6,0.97013,0.48015,1.01261,2e-05,0.69043,0,0,0,0,0,0,0,0,0,0.0020305,0.0020305,0.0020305
163,43813.8,0.9675,0.47757,1.01427,2e-05,0.69097,0,0,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
164,44042.5,0.9667,0.47768,1.01203,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.0019315,0.0019315,0.0019315
165,44273.9,0.96384,0.47582,1.0105,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
166,44502,0.95972,0.47275,1.01042,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0018325,0.0018325,0.0018325
167,44727.1,0.96215,0.47421,1.01337,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
168,44953,0.95987,0.47317,1.01032,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.0017335,0.0017335,0.0017335
169,45178.5,0.95669,0.47102,1.00656,2e-05,0.69058,0,0,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
170,45405,0.95726,0.46959,1.0086,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0016345,0.0016345,0.0016345
171,45631,0.95755,0.47024,1.00816,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
172,45857,0.95225,0.4665,1.00752,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0015355,0.0015355,0.0015355
173,46085.7,0.95219,0.46694,1.00367,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
174,46309.9,0.95142,0.46519,1.00695,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.0014365,0.0014365,0.0014365
175,46534.1,0.94827,0.46306,1.00591,2e-05,0.69032,0,0,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
176,46761.4,0.94893,0.46394,1.00492,2e-05,0.68993,0,0,0,0,0,0,0,0,0,0.0013375,0.0013375,0.0013375
177,46988.8,0.94655,0.4615,1.0037,2e-05,0.69112,0,0,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
178,47234.2,0.94456,0.45978,1.00176,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0012385,0.0012385,0.0012385
179,47478.9,0.94516,0.45985,1.00272,2e-05,0.69097,0,0,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
180,47777.4,0.94094,0.45759,1.00067,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.0011395,0.0011395,0.0011395
181,48115.8,0.94084,0.45662,1.00032,2e-05,0.69039,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
182,48456,0.93916,0.4553,1.00097,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.0010405,0.0010405,0.0010405
183,48971.1,0.93894,0.45534,0.99856,2e-05,0.69042,0,0,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
184,49282,0.9349,0.45349,0.99701,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0009415,0.0009415,0.0009415
185,49588.5,0.93563,0.45247,0.99926,2e-05,0.69058,0,0,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
186,49907.2,0.93392,0.45138,0.99952,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0008425,0.0008425,0.0008425
187,50225.5,0.93277,0.45054,0.99681,2e-05,0.69089,0,0,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
188,50542.4,0.9291,0.44815,0.99565,2e-05,0.69051,0,0,0,0,0,0,0,0,0,0.0007435,0.0007435,0.0007435
