epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
58,1966.53,1.96364,1.15122,1.058,0.59576,0.5466,0.56001,0.32259,1.82187,1.0283,0.99885,0.32259,0.00429463,0.00429463,0.00429463
59,1999.4,1.95543,1.14402,1.04955,0.60161,0.55231,0.56437,0.32418,1.81516,1.02259,0.9971,0.32418,0.00428225,0.00428225,0.00428225
60,2032.69,1.94903,1.14198,1.05108,0.59682,0.55678,0.56593,0.32468,1.81274,1.019,0.9957,0.32468,0.00426988,0.00426988,0.00426988
61,2065.96,1.9452,1.13833,1.04599,0.59804,0.55409,0.56508,0.32614,1.8069,1.01626,0.99355,0.32614,0.0042575,0.0042575,0.0042575
62,2098.02,1.9361,1.13186,1.04559,0.60158,0.55258,0.56489,0.32722,1.80078,1.01146,0.99162,0.32722,0.00424513,0.00424513,0.00424513
63,2130.94,1.92654,1.12492,1.04138,0.59969,0.55498,0.56777,0.32925,1.79413,1.00522,0.99009,0.32925,0.00423275,0.00423275,0.00423275
64,2163.07,1.9193,1.11341,1.03714,0.60615,0.55509,0.56991,0.33083,1.78911,1.00008,0.98902,0.33083,0.00422038,0.00422038,0.00422038
65,2196.07,1.91858,1.11423,1.04171,0.60174,0.55702,0.57122,0.33201,1.78517,0.99639,0.98771,0.33201,0.004208,0.004208,0.004208
66,2228.98,1.92354,1.11048,1.03663,0.60585,0.56028,0.57349,0.33368,1.77896,0.99302,0.98559,0.33368,0.00419563,0.00419563,0.00419563
67,2261.24,1.91051,1.10342,1.03812,0.60771,0.56171,0.57492,0.33492,1.77454,0.98924,0.98444,0.33492,0.00418325,0.00418325,0.00418325
68,2294.14,1.89934,1.09927,1.03418,0.61449,0.56031,0.57632,0.33619,1.76899,0.98463,0.98288,0.33619,0.00417088,0.00417088,0.00417088
69,2327.57,1.89624,1.09209,1.03282,0.61575,0.5602,0.57667,0.33735,1.76638,0.98194,0.98173,0.33735,0.0041585,0.0041585,0.0041585
70,2360.82,1.90045,1.09611,1.03116,0.61623,0.56596,0.57895,0.33911,1.76083,0.97811,0.98028,0.33911,0.00414612,0.00414612,0.00414612
71,2394.01,1.89271,1.09072,1.02858,0.61978,0.5642,0.58049,0.34084,1.75662,0.97467,0.97876,0.34084,0.00413375,0.00413375,0.00413375
72,2428.12,1.87564,1.07834,1.0242,0.61878,0.56625,0.58348,0.34226,1.75287,0.97248,0.9778,0.34226,0.00412138,0.00412138,0.00412138
73,2459.96,1.87098,1.07261,1.01901,0.62041,0.56764,0.58483,0.34334,1.74922,0.96993,0.97664,0.34334,0.004109,0.004109,0.004109
74,2493.03,1.87061,1.06603,1.01955,0.62452,0.56831,0.58687,0.34438,1.74621,0.96686,0.9758,0.34438,0.00409662,0.00409662,0.00409662
75,2525.47,1.85507,1.05719,1.01655,0.62838,0.56814,0.58819,0.34488,1.74141,0.96449,0.9746,0.34488,0.00408425,0.00408425,0.00408425
76,2557.96,1.85016,1.05438,1.01399,0.63148,0.56728,0.5881,0.34581,1.73674,0.9615,0.9735,0.34581,0.00407187,0.00407187,0.00407187
77,2591.03,1.85475,1.05579,1.01176,0.63003,0.56944,0.58957,0.34703,1.73293,0.95877,0.97272,0.34703,0.0040595,0.0040595,0.0040595
78,2624.34,1.84935,1.05432,1.01839,0.62746,0.57118,0.58907,0.34759,1.72977,0.95637,0.97201,0.34759,0.00404712,0.00404712,0.00404712
79,2658.17,1.83968,1.04854,1.01281,0.63122,0.57149,0.59046,0.34817,1.726,0.95412,0.97099,0.34817,0.00403475,0.00403475,0.00403475
80,2691.3,1.82996,1.03784,1.00909,0.63562,0.56971,0.59096,0.34906,1.72366,0.9516,0.97033,0.34906,0.00402237,0.00402237,0.00402237
81,2725,1.83675,1.0394,1.00996,0.63245,0.57124,0.59111,0.34997,1.72034,0.94925,0.96965,0.34997,0.00401,0.00401,0.00401
82,2757.07,1.83791,1.0382,1.01071,0.63619,0.56968,0.5921,0.35133,1.71701,0.94708,0.96886,0.35133,0.00399763,0.00399763,0.00399763
83,2791.52,1.81445,1.02573,1.00449,0.63535,0.56943,0.59177,0.35164,1.71331,0.94519,0.96811,0.35164,0.00398525,0.00398525,0.00398525
84,2825.44,1.81245,1.01854,1.0019,0.63593,0.57001,0.59221,0.35226,1.70983,0.94257,0.96732,0.35226,0.00397287,0.00397287,0.00397287
85,2857.99,1.80279,1.01811,1.00258,0.64003,0.57116,0.59354,0.35313,1.70657,0.94006,0.96645,0.35313,0.0039605,0.0039605,0.0039605
86,2891.31,1.80873,1.01786,1.00403,0.63971,0.57075,0.59378,0.35369,1.70332,0.93791,0.96554,0.35369,0.00394813,0.00394813,0.00394813
87,2924.23,1.79592,1.00767,1.00064,0.64151,0.57226,0.59521,0.35432,1.70081,0.93608,0.96492,0.35432,0.00393575,0.00393575,0.00393575
