200      7.06G      0.949     0.4893     0.9285        461        640: 20% ━━────────── 116/563 9.0it/s 12.8s<49.6s
[K    200/200      7.06G     0.9499     0.4942     0.9264        432        640: 35% ━━━━──────── 201/563 7.1it/s 23.0s<50.8s
[K    200/200      7.06G     0.9499     0.4942     0.9265        494        640: 35% ━━━━──────── 202/563 7.4it/s 23.1s<48.8s
[K    200/200      7.06G     0.9495     0.4939     0.9264        534        640: 36% ━━━━──────── 203/563 7.8it/s 23.2s<46.4s
[K    200/200      7.06G     0.9494     0.4939     0.9263        451        640: 36% ━━━━──────── 204/563 8.3it/s 23.3s<43.5s
[K    200/200      7.06G      0.949     0.4936     0.9262        463        640: 36% ━━━━──────── 205/563 7.8it/s 23.5s<46.1s
[K    200/200      7.06G     0.9487     0.4934     0.9261        389        640: 36% ━━━━──────── 206/563 7.7it/s 23.6s<46.6s
[K    200/200      7.06G     0.9487     0.4934     0.9261        578        640: 36% ━━━━──────── 207/563 7.6it/s 23.8s<46.8s
[K    200/200      7.06G     0.9481     0.4933      0.926        482        640: 37% ━━━━──────── 209/563 8.5it/s 23.9s<41.7s
[K    200/200      7.06G     0.9485     0.4934     0.9261        436        640: 37% ━━━━──────── 211/563 9.6it/s 24.1s<36.6s
[K    200/200      7.06G     0.9476     0.4932      0.926        532        640: 37% ━━━━╸─────── 213/563 10.2it/s 24.3s<34.3s
[K    200/200      7.06G     0.9472     0.4931      0.926        415        640: 38% ━━━━╸─────── 215/563 10.2it/s 24.5s<34.2s
[K    200/200      7.06G     0.9468     0.4929     0.9258        492        640: 38% ━━━━╸─────── 216/563 9.7it/s 24.6s<35.8s
[K    200/200      7.06G     0.9472     0.4929     0.9259        706        640: 38% ━━━━╸─────── 217/563 8.9it/s 24.7s<38.7s
[K    200/200      7.06G     0.9474     0.4933     0.9258        616        640: 38% ━━━━╸─────── 219/563 8.8it/s 25.0s<39.2s
[K    200/200      7.06G      0.948     0.4937     0.9259        515        640: 39% ━━━━╸─────── 220/563 8.7it/s 25.1s<39.3s
[K    200/200      7.06G     0.9483     0.4937      0.926        562        640: 39% ━━━━╸─────── 221/563 8.0it/s 25.2s<42.7s
[K    200/200      7.06G     0.9481     0.4938      0.926        428        640: 39% ━━━━╸─────── 223/563 8.5it/s 25.5s<39.8s
[K    200/200      7.06G     0.9486     0.4938      0.926        449        640: 39% ━━━━╸─────── 225/563 8.8it/s 25.7s<38.2s
[K    200/200      7.06G      0.949     0.4939     0.9261        433        640: 40% ━━━━╸─────── 226/563 9.0it/s 25.8s<37.5s
[K    200/200      7.06G     0.9495     0.4942     0.9263        559        640: 40% ━━━━╸─────── 227/563 8.1it/s 25.9s<41.3s
[K    200/200      7.06G     0.9503     0.4945     0.9267        610        640: 40% ━━━━╸─────── 228/563 8.6it/s 26.0s<38.9s
[K    200/200      7.06G     0.9505     0.4946     0.9268        378        640: 40% ━━━━╸─────── 229/563 8.9it/s 26.1s<37.6s
[K    200/200      7.06G     0.9505     0.4945     0.9268        744        640: 40% ━━━━╸─────── 230/563 9.1it/s 26.2s<36.8s
[K    200/200      7.06G     0.9506     0.4944     0.9268        485        640: 41% ━━━━╸─────── 231/563 9.1it/s 26.4s<36.3s
[K    200/200      7.06G     0.9512     0.4945      0.927        419        640: 41% ━━━━╸─────── 233/563 9.2it/s 26.6s<35.8s
[K    200/200      7.06G     0.9514     0.4947      0.927        416        640: 41% ━━━━╸─────── 234/563 9.3it/s 26.7s<35.5s
[K    200/200      7.06G     0.9511     0.4945     0.9269        568        640: 41% ━━━━━─────── 235/563 9.1it/s 26.8s<36.1s
[K    200/200      7.06G     0.9514     0.4946      0.927        493        640: 41% ━━━━━─────── 236/563 9.4it/s 26.9s<34.9s
[K    200/200      7.06G     0.9514     0.4946     0.9271        404        640: 42% ━━━━━─────── 237/563 9.1it/s 27.0s<35.8s
[K    200/200      7.06G     0.9505     0.4943      0.927        461        640: 42% ━━━━━─────── 239/563 9.2it/s 27.2s<35.2s
[K    200/200      7.06G     0.9508     0.4945     0.9271        384        640: 42% ━━━━━─────── 240/563 9.0it/s 27.3s<36.0s
[K    200/200      7.06G     0.9508     0.4944     0.9271        623        640: 42% ━━━━━─────── 241/563 8.2it/s 27.5s<39.2s
[K    200/200      7.06G     0.9514     0.4946     0.9273        440        640: 42% ━━━━━─────── 242/563 8.1it/s 27.6s<39.6s
[K    200/200      7.06G     0.9505      0.494      0.927        488        640: 43% ━━━━━─────── 244/563 9.1it/s 27.8s<35.2s
[K    200/200      7.06G     0.9502      0.494      0.927        423        640: 43% ━━━━━─────── 245/563 9.3it/s 27.9s<34.3s
[K    200/200      7.06G     0.9498     0.4936     0.9269        344        640: 43% ━━━━━─────── 247/563 9.6it/s 28.1s<33.0s
[K    200/200      7.06G     0.9495     0.4931     0.9267        476        640: 44% ━━━━━─────── 249/563 9.8it/s 28.3s<32.2s
[K    200/200      7.06G     0.9491      0.493     0.9265        443        640: 44% ━━━━━─────── 250/563 9.7it/s 28.4s<32.4s
[K    200/200      7.06G     0.9493     0.4933     0.9267        551        640: 44% ━━━━━─────── 251/563 9.1it/s 28.5s<34.4s
[K    200/200      7.06G     0.9497     0.4934     0.9268        498        640: 44% ━━━━━─────── 252/563 8.8it/s 28.6s<35.3s
[K    200/200      7.06G     0.9492     0.4933     0.9266        519        640: 44% ━━━━━─────── 253/563 8.4it/s 28.8s<37.1s
[K    200/200      7.06G     0.9496     0.4935     0.9267        600        640: 45% ━━━━━─────── 254/563 8.6it/s 28.9s<36.0s
[K    200/200      7.06G     0.9497     0.4935     0.9267        401        640: 45% ━━━━━─────── 255/563 8.8it/s 29.0s<35.0s
[K    200/200      7.06G     0.9494     0.4934     0.9267        304        640: 45% ━━━━━─────── 256/563 9.0it/s 29.1s<34.1s
[K    200/200      7.06G     0.9492     0.4936     0.9267        292        640: 45% ━━━━━─────── 257/563 8.7it/s 29.2s<35.2s
[K    200/200      7.06G     0.9489     0.4934     0.9266        400        640: 45% ━━━━━─────── 258/563 8.7it/s 29.3s<35.0s
[K    200/200      7.06G     0.9491     0.4937     0.9267        550        640: 46% ━━━━━╸────── 259/563 8.6it/s 29.5s<35.3s
[K    200/200      7.06G     0.9493     0.4938     0.9268        483        640: 46% ━━━━━╸────── 260/563 9.0it/s 29.6s<33.6s
[K    200/200      7.06G     0.9488     0.4935     0.9266        448        640: 46% ━━━━━╸────── 261/563 8.9it/s 29.7s<33.8s
[K    200/200      7.06G     0.9491     0.4937     0.9267        432        640: 46% ━━━━━╸────── 262/563 8.9it/s 29.8s<33.7s
[K    200/200      7.06G     0.9484     0.4934     0.9265        394        640: 46% ━━━━━╸────── 263/563 8.6it/s 29.9s<34.9s
[K    200/200      7.06G     0.9489     0.4937     0.9268        340        640: 46% ━━━━━╸────── 264/563 8.3it/s 30.1s<36.2s
[K    200/200      7.06G     0.9487     0.4935     0.9267        494        640: 47% ━━━━━╸────── 265/563 8.3it/s 30.2s<36.1s
[K    200/200      7.06G     0.9484     0.4933     0.9266        444        640: 47% ━━━━━╸────── 266/563 8.8it/s 30.3s<33.9s
[K    200/200      7.06G      0.949     0.4935     0.9268        582        640: 47% ━━━━━╸────── 267/563 8.1it/s 30.4s<36.5s
[K    200/200      7.06G     0.9492     0.4938     0.9267        516        640: 47% ━━━━━╸────── 269/563 8.3it/s 30.7s<35.6s
[K    200/200      7.06G     0.9489     0.4936     0.9267        473        640: 47% ━━━━━╸────── 270/563 7.5it/s 30.8s<38.9s
[K    200/200      7.06G      0.949     0.4941     0.9268        445        640: 48% ━━━━━╸────── 271/563 7.8it/s 30.9s<37.3s
[K    200/200      7.06G     0.9488     0.4942     0.9268        380        640: 48% ━━━━━╸────── 272/563 7.7it/s 31.1s<37.9s
[K    200/200      7.06G     0.9486     0.4939     0.9267        538        640: 48% ━━━━━╸────── 273/563 7.5it/s 31.2s<38.5s
[K    200/200      7.06G     0.9485     0.4938     0.9266        414        640: 48% ━━━━━╸────── 274/563 7.7it/s 31.3s<37.6s
[K    200/200      7.06G     0.9488      0.494     0.9267        437        640: 48% ━━━━━╸────── 275/563 7.8it/s 31.5s<36.9s
[K    200/200      7.06G     0.9489     0.4941     0.9266        372        640: 49% ━━━━━╸────── 276/563 8.4it/s 31.6s<34.1s
[K    200/200      7.06G     0.9487     0.4941     0.9266        510        640: 49% ━━━━━╸────── 277/563 8.7it/s 31.7s<32.9s
[K    200/200      7.06G     0.9489     0.4942     0.9266        503        640: 49% ━━━━━╸────── 278/563 8.8it/s 31.8s<32.3s
[K    200/200      7.06G      0.949     0.4942     0.9266        450        640: 49% ━━━━━╸────── 279/563 8.7it/s 31.9s<32.6s
[K    200/200      7.06G     0.9496     0.4946     0.9267        479        640: 49% ━━━━━╸────── 280/563 8.8it/s 32.0s<32.0s
[K    200/200      7.06G     0.9496     0.4946     0.9267        453        640: 49% ━━━━━╸────── 281/563 8.4it/s 32.2s<33.7s
[K    200/200      7.06G     0.9496     0.4947     0.9268        321        640: 50% ━━━━━━────── 282/563 8.6it/s 32.3s<32.5s
[K    200/200      7.06G     0.9494     0.4947     0.9267        450        640: 50% ━━━━━━────── 283/563 8.3it/s 32.4s<33.8s
[K    200/200      7.06G     0.9492     0.4946     0.9265        441        640: 50% ━━━━━━────── 284/563 8.7it/s 32.5s<32.0s
[K    200/200      7.06G     0.9493     0.4947     0.9266        500        640: 50% ━━━━━━────── 285/563 8.6it/s 32.6s<32.3s
[K    200/200      7.06G     0.9497     0.4949     0.9267        428        640: 50% ━━━━━━────── 286/563 8.6it/s 32.7s<32.1s
[K    200/200      7.06G     0.9498     0.4949     0.9266        589        640: 50% ━━━━━━────── 287/563 8.3it/s 32.9s<33.2s
[K    200/200      7.06G     0.9495     0.4948     0.9265        373        640: 51% ━━━━━━────── 288/563 8.3it/s 33.0s<33.0s
[K    200/200      7.06G     0.9496     0.4948     0.9266        391        640: 51% ━━━━━━────── 289/563 7.8it/s 33.1s<35.1s
[K    200/200      7.06G     0.9494     0.4947     0.9265        623        640: 51% ━━━━━━────── 290/563 7.6it/s 33.3s<35.8s
