dataset,id,rgb_gt,ir_gt,class_id,status,label_pair_iou,teacher,student,both_hit_own_gt_iou_delta,rgb_luminance,student_strict_low_correct,student_high_correct_candidate,student_high_wrong_class,student_no_coarse_saved_candidate,level,image_fg_cka_paired,image_fg_cka_donor,image_fg_delta_cka,rgb_fg_tokens,rgb_ring_tokens,rgb_fg_mean_energy,rgb_ring_mean_energy,rgb_fg_over_ring,ir_fg_tokens,ir_ring_tokens,ir_fg_mean_energy,ir_ring_mean_energy,ir_fg_over_ring
dronevehicle,01333,25,27,0,both_hit,1.0,ir,rgb,0.18000392956647893,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,64,13,6.663761138916016,6.38820219039917,1.043135643005371,64,13,7.480508804321289,5.993860244750977,1.2480285167694092
dronevehicle,01333,25,27,0,both_hit,1.0,ir,rgb,0.18000392956647893,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,16,6,5.910770416259766,4.55211877822876,1.2984657287597656,16,6,6.43929386138916,4.491440773010254,1.4336811304092407
dronevehicle,01333,25,27,0,both_hit,1.0,ir,rgb,0.18000392956647893,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,1,6.257926940917969,7.5948286056518555,0.8239721059799194,4,1,8.097532272338867,9.543298721313477,0.8485045433044434
dronevehicle,01333,26,28,0,both_hit,1.0,ir,rgb,0.2439065076857453,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,72,22,6.585422039031982,6.337315082550049,1.0391501188278198,72,22,7.433073997497559,5.988410472869873,1.2412432432174683
dronevehicle,01333,26,28,0,both_hit,1.0,ir,rgb,0.2439065076857453,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,20,6,5.634896278381348,4.6181559562683105,1.2201615571975708,20,6,6.514163970947266,4.715090274810791,1.3815566301345825
dronevehicle,01333,26,28,0,both_hit,1.0,ir,rgb,0.2439065076857453,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,2,5.6507720947265625,6.305889129638672,0.8961102962493896,4,2,7.42750358581543,7.803716659545898,0.9517905116081238
dronevehicle,01333,27,29,0,both_hit,1.0,ir,rgb,0.07349663448479049,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,72,66,6.560482501983643,6.214093208312988,1.0557425022125244,72,66,7.102988243103027,5.997170925140381,1.1843898296356201
dronevehicle,01333,27,29,0,both_hit,1.0,ir,rgb,0.07349663448479049,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,21,6.1290283203125,4.436224937438965,1.3815864324569702,12,21,6.424165725708008,4.222310543060303,1.5214811563491821
dronevehicle,01333,27,29,0,both_hit,1.0,ir,rgb,0.07349663448479049,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,2,4.731390953063965,5.275453567504883,0.8968690633773804,4,2,6.323267459869385,5.7020368576049805,1.1089489459991455
dronevehicle,01333,28,30,0,both_hit,1.0,ir,rgb,0.17046424278226446,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,56,33,6.675271034240723,6.255361080169678,1.06712806224823,56,33,6.968441009521484,6.028732776641846,1.1558716297149658
dronevehicle,01333,28,30,0,both_hit,1.0,ir,rgb,0.17046424278226446,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,13,5.922369003295898,4.5912766456604,1.2899177074432373,12,13,5.718135356903076,4.192845344543457,1.3637839555740356
dronevehicle,01333,28,30,0,both_hit,1.0,ir,rgb,0.17046424278226446,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,0,6.629931449890137,,,4,0,10.174351692199707,,
dronevehicle,01333,29,31,0,both_hit,1.0,ir,rgb,0.10468456851492203,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,56,33,6.934502601623535,6.249051570892334,1.1096887588500977,56,33,7.308815956115723,5.986095905303955,1.2209653854370117
dronevehicle,01333,29,31,0,both_hit,1.0,ir,rgb,0.10468456851492203,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,13,6.447012424468994,4.526944160461426,1.4241422414779663,12,13,6.506157398223877,4.126578330993652,1.5766470432281494
dronevehicle,01333,29,31,0,both_hit,1.0,ir,rgb,0.10468456851492203,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,1,6.776488780975342,5.124369144439697,1.3224045038223267,4,1,10.455083847045898,9.25290298461914,1.1299247741699219
dronevehicle,01333,30,32,0,both_hit,1.0,ir,rgb,0.09603734167716582,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,48,19,6.90497350692749,6.2582621574401855,1.1033371686935425,48,19,7.389246463775635,6.029069423675537,1.2256031036376953
dronevehicle,01333,30,32,0,both_hit,1.0,ir,rgb,0.09603734167716582,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,16,5,6.072713375091553,4.429412841796875,1.370997428894043,16,5,6.411687850952148,4.0959367752075195,1.5653775930404663
dronevehicle,01333,30,32,0,both_hit,1.0,ir,rgb,0.09603734167716582,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,1,1,7.319721221923828,5.191929817199707,1.409826636314392,1,1,11.046730995178223,8.610279083251953,1.2829701900482178
dronevehicle,01333,31,33,0,both_hit,1.0,ir,rgb,0.17926407031695812,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,56,32,6.901569843292236,6.258989334106445,1.1026651859283447,56,32,7.501845359802246,6.0480475425720215,1.2403746843338013
dronevehicle,01333,31,33,0,both_hit,1.0,ir,rgb,0.17926407031695812,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,16,6,6.142515182495117,4.34360933303833,1.4141499996185303,16,6,6.702289581298828,4.088308334350586,1.639379620552063
dronevehicle,01333,31,33,0,both_hit,1.0,ir,rgb,0.17926407031695812,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,1,7.061013221740723,6.195494174957275,1.1397013664245605,4,1,10.597112655639648,9.130173683166504,1.1606693267822266
dronevehicle,01333,32,34,0,both_hit,1.0,ir,rgb,0.1971790079215736,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,49,21,6.814822673797607,6.265505790710449,1.0876731872558594,49,21,7.524993419647217,6.010157585144043,1.25204598903656
dronevehicle,01333,32,34,0,both_hit,1.0,ir,rgb,0.1971790079215736,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,9,6,6.469515323638916,4.916347026824951,1.3159191608428955,9,6,7.121344566345215,4.354159832000732,1.6355266571044922
dronevehicle,01333,32,34,0,both_hit,1.0,ir,rgb,0.1971790079215736,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,0,6.15394401550293,,,4,0,11.037899017333984,,
dronevehicle,01333,33,35,0,both_hit,1.0,ir,rgb,0.3064314510910492,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,56,19,6.660022258758545,6.283581733703613,1.0599086284637451,56,19,7.4648261070251465,6.0236029624938965,1.239262580871582
dronevehicle,01333,33,35,0,both_hit,1.0,ir,rgb,0.3064314510910492,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,9,6.051730632781982,4.808112144470215,1.2586500644683838,12,9,6.854978561401367,4.277331352233887,1.6026297807693481
dronevehicle,01333,33,35,0,both_hit,1.0,ir,rgb,0.3064314510910492,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,2,1,5.691891193389893,7.394752502441406,0.7697203159332275,2,1,10.159911155700684,10.444905281066895,0.9727145433425903
dronevehicle,01333,34,36,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,True,False,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,64,30,6.574043273925781,6.267187595367432,1.0489622354507446,64,30,7.365606307983398,5.978001117706299,1.2321186065673828
dronevehicle,01333,34,36,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,True,False,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,11,6.082775592803955,4.570009231567383,1.331020474433899,12,11,6.649448394775391,4.191971778869629,1.5862340927124023
dronevehicle,01333,34,36,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,True,False,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,1,5.975703239440918,6.77272891998291,0.882318377494812,4,1,10.51047420501709,9.091585159301758,1.1560661792755127
dronevehicle,01333,35,37,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,False,False,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,56,29,6.460232257843018,6.306314945220947,1.024406909942627,56,29,7.400874614715576,5.928663730621338,1.2483208179473877
dronevehicle,01333,35,37,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,False,False,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,16,11,5.596986770629883,4.475635051727295,1.250545859336853,16,11,6.602453231811523,4.259509563446045,1.550050139427185
dronevehicle,01333,35,37,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,False,False,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,3,5.377248287200928,5.790679454803467,0.928604006767273,4,3,9.042437553405762,7.866613864898682,1.1494700908660889
dronevehicle,01333,36,38,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,False,False,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,64,66,6.497576713562012,6.272265434265137,1.0359218120574951,64,66,7.162694454193115,6.17083740234375,1.1607329845428467
dronevehicle,01333,36,38,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,False,False,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,20,5.639729022979736,4.654447555541992,1.2116860151290894,12,20,6.89330530166626,4.636831760406494,1.48664128780365
dronevehicle,01333,36,38,0,teacher_only,1.0,ir,rgb,,6.9064764976501465,False,False,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,1,6.303562164306641,6.006141662597656,1.049519419670105,4,1,8.084188461303711,6.737727165222168,1.1998391151428223
dronevehicle,01333,37,39,0,both_hit,1.0,ir,rgb,0.056877267158300326,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,49,21,6.824524402618408,6.711850643157959,1.0167872905731201,49,21,7.3899760246276855,6.781480312347412,1.0897290706634521
dronevehicle,01333,37,39,0,both_hit,1.0,ir,rgb,0.056877267158300326,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,5,6.471944332122803,5.91951322555542,1.0933237075805664,12,5,7.05641508102417,6.199408531188965,1.138240098953247
dronevehicle,01333,37,39,0,both_hit,1.0,ir,rgb,0.056877267158300326,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,0,9.144341468811035,,,4,0,7.535717964172363,,
dronevehicle,01333,38,40,0,both_hit,1.0,ir,rgb,0.26359845260075454,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,49,12,6.530755043029785,7.025600433349609,0.9295653700828552,49,12,7.470161437988281,7.301399230957031,1.02311372756958
dronevehicle,01333,38,40,0,both_hit,1.0,ir,rgb,0.26359845260075454,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,4,5.90294075012207,7.271745681762695,0.8117639422416687,12,4,6.810271739959717,7.088065147399902,0.960808277130127
dronevehicle,01333,38,40,0,both_hit,1.0,ir,rgb,0.26359845260075454,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,0,9.474388122558594,,,4,0,6.692516803741455,,
dronevehicle,01333,39,41,0,both_hit,1.0,ir,rgb,0.3019777966137456,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,56,5,6.5594048500061035,6.442646026611328,1.0181227922439575,56,5,7.4762139320373535,6.130817890167236,1.2194480895996094
dronevehicle,01333,39,41,0,both_hit,1.0,ir,rgb,0.3019777966137456,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,12,3,5.99467134475708,5.775904178619385,1.037875771522522,12,3,6.714042663574219,5.254896640777588,1.277673602104187
dronevehicle,01333,39,41,0,both_hit,1.0,ir,rgb,0.3019777966137456,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,0,5.423004627227783,,,4,0,8.214946746826172,,
dronevehicle,01333,40,42,0,both_hit,1.0,ir,rgb,0.24030796449915004,6.9064764976501465,False,True,False,False,P3,0.41507458686828613,0.019267570041120053,0.39580701682716607,48,1,6.561593532562256,6.5691986083984375,0.9988422989845276,48,1,7.509530544281006,6.2927093505859375,1.19336998462677
dronevehicle,01333,40,42,0,both_hit,1.0,ir,rgb,0.24030796449915004,6.9064764976501465,False,True,False,False,P4,0.4980264902114868,0.029964850470423698,0.46806163974106313,9,2,6.224190711975098,6.213467597961426,1.0017257928848267,9,2,7.0514092445373535,5.3770856857299805,1.311381220817566
dronevehicle,01333,40,42,0,both_hit,1.0,ir,rgb,0.24030796449915004,6.9064764976501465,False,True,False,False,P5,0.2340409755706787,0.23232464492321014,0.001716330647468567,4,0,5.818668842315674,,,4,0,10.409492492675781,,
