run,group_type,group,rgb_gt,d1_opportunity,base,selected,selected_per_rgb_gt,selected_per_base,teacher_ce_worse_count,teacher_ce_delta_mean,negative_logit_cosine_count
llvip_train,luminance_proxy,low,4949,64,4855,180,0.03637098403717923,0.037075180226570546,4,-0.49899316595660315,1
llvip_train,source_group,02,260,4,253,4,0.015384615384615385,0.015810276679841896,0,-0.3774348944425583,0
llvip_train,source_group,03,287,0,282,4,0.013937282229965157,0.014184397163120567,0,-0.32954607903957367,0
llvip_train,source_group,05,359,7,352,9,0.025069637883008356,0.02556818181818182,0,-0.6122886803415086,0
llvip_train,source_group,06,418,7,410,7,0.01674641148325359,0.01707317073170732,0,-1.0857438147068024,0
llvip_train,source_group,08,980,12,966,32,0.0326530612244898,0.033126293995859216,1,-0.6678315289318562,0
llvip_train,source_group,09,827,11,819,41,0.049576783555018135,0.050061050061050064,1,-0.24902097917184596,1
llvip_train,source_group,10,601,13,598,41,0.06821963394342762,0.06856187290969899,1,-0.599794880646031,0
llvip_train,source_group,11,266,1,264,6,0.022556390977443608,0.022727272727272728,1,-0.24943987528483072,0
llvip_train,source_group,13,354,3,351,26,0.07344632768361582,0.07407407407407407,0,-0.49638532675229585,0
llvip_train,source_group,14,314,1,305,8,0.025477707006369428,0.02622950819672131,0,-0.7840322852134705,0
llvip_train,source_group,15,260,5,231,6,0.023076923076923078,0.025974025974025976,0,-0.6181770165761312,0
llvip_train,source_group,16,240,2,239,6,0.025,0.02510460251046025,0,-0.5480063507954279,0
llvip_train,source_group,17,225,5,222,14,0.06222222222222222,0.06306306306306306,0,-0.2932483639035906,0
llvip_train,source_group,18,201,4,200,7,0.03482587064676617,0.035,0,-0.38689752987452913,0
llvip_train,brightness_proxy_bin,0,4162,56,4077,155,0.03724171071600192,0.038018150600932055,4,-0.49887853110990216,1
llvip_train,brightness_proxy_bin,1,1430,19,1415,56,0.039160839160839164,0.039575971731448764,0,-0.5226855645222324,0
llvip_val,class,0,643,89,559,131,0.20373250388802489,0.23434704830053668,0,-0.861512980388321,0
llvip_val,scale_bin,large,17,1,17,1,0.058823529411764705,0.058823529411764705,0,-1.920557975769043,0
llvip_val,scale_bin,medium,617,88,539,130,0.2106969205834684,0.24118738404452691,0,-0.853366480423854,0
llvip_val,scale_bin,small,9,0,3,0,0.0,0.0,0,,0
llvip_val,luminance_proxy,high,47,10,40,12,0.2553191489361702,0.3,0,-0.7897112021843592,0
llvip_val,luminance_proxy,low,596,79,519,119,0.19966442953020133,0.22928709055876687,0,-0.8687534958374601,0
llvip_val,source_group,01,227,23,206,31,0.13656387665198239,0.15048543689320387,0,-0.5157945829053079,0
