dataset,split,fixed_stratum,condition_index,dx_input_px,dy_input_px,linf_px,l2_px,fixed_n,teacher_unclamped_support_n,iou_advantage_mean,teacher_minus_native_ce_mean,teacher_ce_better_fraction,kl_t2_mean4_mean,cosine_mean,positive_cosine_fraction_fixed,original_quality_gate_n,original_quality_gate_survived_n,original_quality_gate_survival_fraction,new_quality_gate_members_n,lost_mass_t1_mean4_mean,lost_mass_t2_mean4_mean,conditional_vs_exact_box_max_abs_px_mean,conditional_vs_exact_box_max_abs_px_max
llvip,val,base,20,0,-4,4,4.0,548,547,0.02075456471045061,-0.12144823532528524,0.5072992700729927,0.8396967143519503,0.3506915628308921,0.781021897810219,61,60,0.9836065573770492,0,0.0015255437666430113,0.0023705589917326166,0.1551916656530895,3.8958058286344794
llvip,val,n_iou_lt_070,20,0,-4,4,4.0,199,198,0.1308744286093151,-0.5427378499481598,0.8040201005025126,1.3380779019993985,0.5519011692182834,0.914572864321608,61,60,0.9836065573770492,0,0.001961549178074359,0.0030040545526952376,0.20876263608726536,3.8958058286344794
llvip,val,quality_gate070,20,0,-4,4,4.0,61,61,0.23603223352926092,-0.8863073516668101,0.9672131147540983,1.6584943666757965,0.7517418531202804,1.0,61,60,0.9836065573770492,0,0.0018442026583644201,0.0029129940556876957,0.18693295258502357,2.8061626769336954
llvip,train,base,21,4,4,4,5.656854249492381,2728,2696,-0.12159477528265349,0.1389258508247831,0.09420821114369501,0.5583837559038061,0.07643471383630566,0.5733137829912024,23,16,0.6956521739130435,2,0.006609803418509762,0.009127101191319372,0.5829683628625321,3.945995310078956
llvip,train,n_iou_lt_070,21,4,4,4,5.656854249492381,82,82,0.07066391604567263,-0.3632344326972674,0.7804878048780488,1.0428514640057065,0.5014602909055639,0.8780487804878049,23,16,0.6956521739130435,2,0.007105412034913962,0.010918034423792342,0.572746061581172,3.4905698302386554
llvip,train,quality_gate070,21,4,4,4,5.656854249492381,23,23,0.16926219303305207,-0.6826422141551871,0.9130434782608695,1.4139445633963543,0.7057715441777261,1.0,23,16,0.6956521739130435,0,0.0055604577526916,0.008521786977665688,0.5571728537414508,2.8586615189973372
llvip,val,base,21,4,4,4,5.656854249492381,548,535,-0.02642453709838903,-0.10214307031588316,0.46715328467153283,1.0848058289814182,0.3489853053130302,0.801094890510949,61,46,0.7540983606557377,1,0.007880101362419794,0.010091440498866837,0.6905377277651572,3.908534613004747
llvip,val,n_iou_lt_070,21,4,4,4,5.656854249492381,199,191,0.0752841622994625,-0.5181669008745486,0.7989949748743719,1.6178907894578942,0.5328235347230319,0.9346733668341709,61,46,0.7540983606557377,1,0.010126637032582523,0.012398986712488938,0.8569916927897036,3.908534613004747
llvip,val,quality_gate070,21,4,4,4,5.656854249492381,61,59,0.1567260455764479,-0.8749875646713663,0.9508196721311475,1.9569610017052115,0.7204065025298276,0.9836065573770492,61,46,0.7540983606557377,0,0.008807762952554369,0.010959398724005108,0.8040042151485113,3.778094252996084
llvip,train,base,22,4,-4,4,5.656854249492381,2728,2696,-0.12001561845673603,0.1328004592663746,0.09494134897360704,0.5245119380568173,0.07718187666381471,0.5813782991202346,23,20,0.8695652173913043,2,0.0072366142105192936,0.009884026357120683,0.6389863965292573,3.945995310078956
